Key,Sex,Group,Injection,Behavioral_H1,Behavioral_H2,Behavioral_H3,Behavioral_H4,Behavioral_H5,Behavioral_H6,Behavioral_H7,Behavioral_H8,Behavioral_H9,Behavioral_H10,Behavioral_H11,Behavioral_H12,Focal_H1,Focal_H2,Focal_H3,Focal_H4,Focal_H5,Focal_H6,Focal_H7,Focal_H8,Focal_H9,Focal_H10,Focal_H11,Focal_H12,Combined_Behavioral_Focal_H1,Combined_Behavioral_Focal_H2,Combined_Behavioral_Focal_H3,Combined_Behavioral_Focal_H4,Combined_Behavioral_Focal_H5,Combined_Behavioral_Focal_H6,Combined_Behavioral_Focal_H7,Combined_Behavioral_Focal_H8,Combined_Behavioral_Focal_H9,Combined_Behavioral_Focal_H10,Combined_Behavioral_Focal_H11,Combined_Behavioral_Focal_H12
Mouse1,F,NoAbCec,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse14,M,NoAbCec,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse25,M,NoAbCec,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse26,M,NoAbCec,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse2,F,NoAbCec,KA,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
Mouse9,F,NoAbCec,KA,0,4,1,1,0,0,0,2,1,0,0,0,3,7,0,0,1,0,0,0,0,0,0,0,3,11,1,1,1,0,0,2,1,0,0,0
Mouse10,F,NoAbCec,KA,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0
Mouse50,F,NoAbCec,KA,0,1,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0
Mouse15,M,NoAbCec,KA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mouse22,M,NoAbCec,KA,0,0,2,1,0,0,1,0,0,0,0,0,8,2,3,1,0,0,0,0,0,0,0,0,8,2,5,2,0,0,1,0,0,0,0,0
Mouse41,M,NoAbCec,KA,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Mouse31,M,AbCec,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse35,M,AbCec,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse5,F,AbCec,KA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse11,F,AbCec,KA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mouse53,F,AbCec,KA,0,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
Mouse54,F,AbCec,KA,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0
Mouse55,F,AbCec,KA,0,3,1,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,1,8,5,0,0,0,0,0,0,0,0,0
Mouse46,F,AbSal,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse23,M,AbSal,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse24,M,AbSal,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse27,M,AbSal,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse39,M,AbSal,Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Mouse4,F,AbSal,KA,0,4,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0
Mouse7,F,AbSal,KA,0,0,1,0,0,1,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,8,3,3,0,0,1,0,0,0,0,0,0
Mouse8,F,AbSal,KA,2,6,2,0,1,4,0,0,0,0,0,0,13,10,1,0,0,0,0,0,0,0,0,0,15,16,3,0,1,4,0,0,0,0,0,0
Mouse47,F,AbSal,KA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouse20,M,AbSal,KA,1,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0
Mouse21,M,AbSal,KA,8,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0
