activity	time	p	p_peak	p_smooth
Mouse2, F, NoAbCec	1440	0	0	0
Mouse4, F, AbSal	1440	0	0	0
Mouse5, F, AbCec	1440	0	0	0
Mouse7, F, AbSal	1440	0	0	0
Mouse9, F, NoAbCec	1440	0	0	0
Mouse2, F, NoAbCec	1440.083	0	0	0
Mouse4, F, AbSal	1440.083	0	0	0
Mouse5, F, AbCec	1440.083	0	0	0
Mouse7, F, AbSal	1440.083	0	0	0
Mouse9, F, NoAbCec	1440.083	0	0	0
Mouse2, F, NoAbCec	1440.167	0	0	0
Mouse4, F, AbSal	1440.167	0	0	0
Mouse5, F, AbCec	1440.167	0	0	0
Mouse7, F, AbSal	1440.167	0	0	0
Mouse9, F, NoAbCec	1440.167	0	0	0
Mouse2, F, NoAbCec	1440.25	0	0	0
Mouse4, F, AbSal	1440.25	0	0	0
Mouse5, F, AbCec	1440.25	0	0	0
Mouse7, F, AbSal	1440.25	0	0	0
Mouse9, F, NoAbCec	1440.25	0	0	0
Mouse2, F, NoAbCec	1440.333	0	0	0
Mouse4, F, AbSal	1440.333	0	0	0
Mouse5, F, AbCec	1440.333	0	0	0
Mouse7, F, AbSal	1440.333	0	0	0
Mouse9, F, NoAbCec	1440.333	0	0	0
Mouse2, F, NoAbCec	1440.417	0	0	0
Mouse4, F, AbSal	1440.417	0	0	0
Mouse5, F, AbCec	1440.417	0	0	0
Mouse7, F, AbSal	1440.417	0	0	0
Mouse9, F, NoAbCec	1440.417	0	0	0
Mouse2, F, NoAbCec	1440.5	0	0	0
Mouse4, F, AbSal	1440.5	0	0	0
Mouse5, F, AbCec	1440.5	0	0	0
Mouse7, F, AbSal	1440.5	0	0	0
Mouse9, F, NoAbCec	1440.5	0	0	0
Mouse2, F, NoAbCec	1440.583	0	0	0
Mouse4, F, AbSal	1440.583	0	0	0
Mouse5, F, AbCec	1440.583	0	0	0
Mouse7, F, AbSal	1440.583	0	0	0
Mouse9, F, NoAbCec	1440.583	0	0	0
Mouse2, F, NoAbCec	1440.667	0	0	0
Mouse4, F, AbSal	1440.667	0	0	0
Mouse5, F, AbCec	1440.667	0	0	0
Mouse7, F, AbSal	1440.667	0	0	0
Mouse9, F, NoAbCec	1440.667	0	0	0
Mouse2, F, NoAbCec	1440.75	0	0	0
Mouse4, F, AbSal	1440.75	0	0	0
Mouse5, F, AbCec	1440.75	0	0	0
Mouse7, F, AbSal	1440.75	0	0	0
Mouse9, F, NoAbCec	1440.75	0	0	0
Mouse2, F, NoAbCec	1440.833	0	0	0
Mouse4, F, AbSal	1440.833	0	0	0
Mouse5, F, AbCec	1440.833	0	0	0
Mouse7, F, AbSal	1440.833	0	0	0
Mouse9, F, NoAbCec	1440.833	0	0	0
Mouse2, F, NoAbCec	1440.917	0	0	0
Mouse4, F, AbSal	1440.917	0	0	0
Mouse5, F, AbCec	1440.917	0	0	0
Mouse7, F, AbSal	1440.917	0	0	0
Mouse9, F, NoAbCec	1440.917	0	0	0
Mouse2, F, NoAbCec	1441	0	0	0
Mouse4, F, AbSal	1441	0	0	0
Mouse5, F, AbCec	1441	0	0	0
Mouse7, F, AbSal	1441	0	0	0
Mouse9, F, NoAbCec	1441	0	0	0
Mouse2, F, NoAbCec	1441.083	0	0	0
Mouse4, F, AbSal	1441.083	0	0	0
Mouse5, F, AbCec	1441.083	0	0	0
Mouse7, F, AbSal	1441.083	0	0	0
Mouse9, F, NoAbCec	1441.083	0	0	0
Mouse2, F, NoAbCec	1441.167	0	0	0
Mouse4, F, AbSal	1441.167	0	0	0
Mouse5, F, AbCec	1441.167	0	0	0
Mouse7, F, AbSal	1441.167	0	0	0
Mouse9, F, NoAbCec	1441.167	0	0	0
Mouse2, F, NoAbCec	1441.25	0	0	0
Mouse4, F, AbSal	1441.25	0	0	0
Mouse5, F, AbCec	1441.25	0	0	0
